q,schedule,passenger_entered,passenger_exited,trams_too_late_cs,trams_too_late_pr, %trams_late_PR>1,%trams_lateCS>1,trams_too_early_cs,trams_too_early_pr,AVG_passenger_waiting_time,peak_tram_freq,offpeak_tram_freq,average_tramqueue_time_P+R De Uithof,average_tramqueue_time_WKZ,average_tramqueue_time_UMC,average_tramqueue_time_Heidelberglaan,average_tramqueue_time_Padualaan,average_tramqueue_time_Kromme Rijn,average_tramqueue_time_Galgenwaard,average_tramqueue_time_Vaartsche Rijn,average_tramqueue_time_Centraal Station,average_tramqueue_time_Vaartsche Rijn 2,average_tramqueue_time_Galgenwaard 2,average_tramqueue_time_Kromme Rijn 2,average_tramqueue_time_Padualaan 2,average_tramqueue_time_Heidelberglaan 2,average_tramqueue_time_UMC 2,average_tramqueue_time_WKZ 2,max_tramqueue_time_P+R De Uithof,max_tramqueue_time_WKZ,max_tramqueue_time_UMC,max_tramqueue_time_Heidelberglaan,max_tramqueue_time_Padualaan,max_tramqueue_time_Kromme Rijn,max_tramqueue_time_Galgenwaard,max_tramqueue_time_Vaartsche Rijn,max_tramqueue_time_Centraal Station,max_tramqueue_time_Vaartsche Rijn 2,max_tramqueue_time_Galgenwaard 2,max_tramqueue_time_Kromme Rijn 2,max_tramqueue_time_Padualaan 2,max_tramqueue_time_Heidelberglaan 2,max_tramqueue_time_UMC 2,max_tramqueue_time_WKZ 2
180,1,41914,41914,240,14,1.6194331983805668,4.4534412955465585,0,0,69.24262554229782,180,900,56,0,0,4,6,0,0,36,40,0,28,16,14,13,11,8,880,0,0,4,7,0,0,93,546,0,77,30,50,42,34,37
180,1,43595,43595,241,32,4.048582995951417,12.550607287449392,0,0,77.69004191700495,180,900,57,0,0,18,17,11,4,47,44,12,30,10,15,10,12,13,907,0,0,34,17,19,7,162,551,20,110,37,45,26,23,37
180,1,41830,41830,239,7,0.4048582995951417,4.048582995951417,0,0,72.02967616975977,180,900,52,0,0,0,0,8,8,28,39,0,19,7,20,11,16,13,909,0,0,0,0,13,14,93,310,0,52,19,46,36,38,21
180,1,45895,45895,237,23,4.048582995951417,10.526315789473683,0,0,73.16155278939199,180,900,53,0,0,19,13,12,14,30,45,23,34,10,12,21,14,6,816,0,0,19,21,24,34,101,322,30,83,17,41,123,27,10
180,1,44129,44129,237,27,2.834008097165992,10.526315789473683,0,0,75.06528445723687,180,900,55,0,0,0,8,20,2,36,47,39,34,8,18,12,12,6,856,0,0,0,10,20,2,150,558,61,67,25,69,23,31,29
180,1,44736,44736,237,35,4.8582995951417,23.076923076923077,0,0,75.24836643588691,180,900,52,0,0,31,13,9,15,33,56,21,31,13,17,27,10,24,820,0,0,33,24,18,32,120,431,36,151,34,30,98,31,65
180,1,43610,43610,244,13,0.8097165991902834,8.502024291497975,0,0,79.08864140532174,180,900,55,0,0,0,0,8,9,40,41,3,48,8,18,11,13,10,801,0,0,0,0,15,19,108,308,3,108,17,37,30,45,21
180,1,41919,41919,240,17,1.214574898785425,9.31174089068826,0,0,71.91926569834321,180,900,50,0,0,18,26,18,18,47,43,7,31,13,14,17,12,9,850,0,0,18,28,18,27,212,356,7,99,48,38,91,39,16
180,1,42675,42675,239,18,2.834008097165992,5.263157894736842,0,0,72.36057240629455,180,900,55,0,13,56,0,0,3,32,37,19,23,7,15,11,10,15,820,0,13,56,0,0,3,73,364,19,108,16,40,30,27,56
180,1,43628,43628,242,19,2.834008097165992,12.145748987854251,0,0,73.01470501807069,180,900,53,0,0,15,7,18,16,54,45,22,39,23,17,14,10,8,820,0,0,15,9,27,18,215,348,43,105,71,51,31,24,10
180,1,41887,41887,241,15,1.6194331983805668,3.643724696356275,0,0,76.4877446762192,180,900,54,8,6,14,11,10,8,30,38,9,32,11,11,16,5,14,881,8,6,19,20,22,19,90,308,9,79,34,25,40,20,40
180,1,42005,42005,237,12,0.8097165991902834,4.048582995951417,0,0,74.37003869312757,180,900,53,0,0,0,1,10,5,25,37,0,32,11,12,9,19,13,834,0,0,0,1,12,7,57,327,0,109,26,33,17,45,31
180,1,42016,42016,242,9,0.0,2.834008097165992,0,0,69.52760243574161,180,900,51,0,0,51,15,25,2,21,36,0,35,13,17,13,11,15,833,0,0,51,19,25,2,53,303,0,68,46,38,34,26,22
180,1,42135,42135,237,11,0.8097165991902834,5.263157894736842,0,0,80.17452489199214,180,900,51,0,0,11,19,17,7,37,40,25,32,16,9,8,8,8,820,0,0,11,36,36,19,157,548,25,86,51,19,30,27,24
180,1,41897,41897,239,11,0.4048582995951417,4.048582995951417,0,0,73.08606447271654,180,900,53,0,0,2,24,10,8,32,40,0,32,9,10,10,9,9,845,0,0,2,36,19,25,129,312,0,56,22,24,17,20,15
180,1,43348,43348,235,19,1.6194331983805668,8.097165991902834,0,0,73.97754450491482,180,900,53,0,15,17,47,14,7,30,44,16,22,15,28,10,9,7,816,0,15,43,62,28,14,107,342,21,66,27,120,24,20,22
180,1,45372,45372,240,49,5.668016194331984,27.530364372469634,0,0,73.20151963700967,180,900,54,0,0,22,10,9,7,32,57,16,28,13,9,16,9,19,878,0,0,66,33,20,22,62,553,29,89,41,23,35,20,38
180,1,42087,42086,239,11,0.4048582995951417,3.2388663967611335,0,0,68.6442654877934,180,900,53,0,0,15,11,8,11,53,36,0,29,15,16,11,11,5,828,0,0,24,36,13,21,100,305,0,90,31,56,44,39,21
180,1,42614,42614,240,8,0.8097165991902834,2.834008097165992,0,0,73.27905024981868,180,900,51,0,0,35,12,31,23,32,37,0,19,14,13,12,16,10,820,0,0,35,15,46,27,78,306,0,34,44,45,43,27,15
180,1,43674,43674,242,35,5.668016194331984,15.789473684210526,0,0,80.10231111565435,180,900,56,0,0,39,32,20,5,31,50,48,40,17,22,15,11,12,910,0,0,39,56,41,18,84,802,48,128,47,47,38,32,23
180,1,42932,42932,241,20,0.8097165991902834,9.7165991902834,0,0,83.28222607742269,180,900,53,0,0,9,0,17,10,32,45,22,30,20,17,8,14,10,844,0,0,9,0,57,19,78,398,38,72,55,36,26,35,32
180,1,42092,42092,237,13,2.0242914979757085,5.263157894736842,0,0,65.28603002862634,180,900,52,0,0,0,5,14,4,32,37,0,45,12,11,17,6,17,826,0,0,0,10,18,12,89,365,0,125,27,19,25,27,23
