q,schedule,passenger_entered,passenger_exited,trams_too_late_cs,trams_too_late_pr, %trams_late_PR>1,%trams_lateCS>1,trams_too_early_cs,trams_too_early_pr,AVG_passenger_waiting_time,peak_tram_freq,offpeak_tram_freq,average_tramqueue_time_P+R De Uithof,average_tramqueue_time_WKZ,average_tramqueue_time_UMC,average_tramqueue_time_Heidelberglaan,average_tramqueue_time_Padualaan,average_tramqueue_time_Kromme Rijn,average_tramqueue_time_Galgenwaard,average_tramqueue_time_Vaartsche Rijn,average_tramqueue_time_Centraal Station,average_tramqueue_time_Vaartsche Rijn 2,average_tramqueue_time_Galgenwaard 2,average_tramqueue_time_Kromme Rijn 2,average_tramqueue_time_Padualaan 2,average_tramqueue_time_Heidelberglaan 2,average_tramqueue_time_UMC 2,average_tramqueue_time_WKZ 2,max_tramqueue_time_P+R De Uithof,max_tramqueue_time_WKZ,max_tramqueue_time_UMC,max_tramqueue_time_Heidelberglaan,max_tramqueue_time_Padualaan,max_tramqueue_time_Kromme Rijn,max_tramqueue_time_Galgenwaard,max_tramqueue_time_Vaartsche Rijn,max_tramqueue_time_Centraal Station,max_tramqueue_time_Vaartsche Rijn 2,max_tramqueue_time_Galgenwaard 2,max_tramqueue_time_Kromme Rijn 2,max_tramqueue_time_Padualaan 2,max_tramqueue_time_Heidelberglaan 2,max_tramqueue_time_UMC 2,max_tramqueue_time_WKZ 2
180,1,44635,44635,59,4,1.0204081632653061,1.0204081632653061,0,0,419.6682639280876,540,720,13,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0
180,1,45206,45206,61,9,5.1020408163265305,8.16326530612245,0,0,398.3736089694691,540,720,22,0,16,30,117,8,0,0,16,62,0,14,19,0,0,0,58,0,16,30,117,8,0,0,29,62,0,14,19,0,0,0
180,1,44542,44542,60,0,0.0,2.0408163265306123,0,0,415.2207078296882,540,720,15,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0
180,1,44522,44522,60,4,0.0,4.081632653061225,0,0,414.4388774116217,540,720,10,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0
180,1,44573,44573,61,3,0.0,4.081632653061225,0,0,399.2696086152343,540,720,32,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,52,0,0,0,0,0,0,0
180,1,44767,44767,61,2,0.0,2.0408163265306123,0,0,408.35157823069795,540,720,15,0,0,0,0,0,0,0,42,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,42,0,0,0,0,0,0,0
180,1,44425,44425,60,5,1.0204081632653061,6.122448979591836,0,0,407.54672054121056,540,720,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
180,1,44729,44729,60,5,1.0204081632653061,8.16326530612245,0,0,400.26634715660754,540,720,28,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,53,0,0,0,0,0,0,0,47,0,0,0,0,0,0,0
180,1,44598,44598,63,4,0.0,4.081632653061225,0,0,396.6843084227798,540,720,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
180,1,44440,44440,62,1,0.0,2.0408163265306123,0,0,425.45040378365064,540,720,22,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,58,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0
180,1,44534,44534,64,2,0.0,4.081632653061225,0,0,393.5571682014837,540,720,8,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0
180,1,44672,44672,61,3,0.0,3.061224489795918,0,0,416.51638762033366,540,720,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
180,1,44690,44690,61,3,1.0204081632653061,3.061224489795918,0,0,386.7426413241879,540,720,6,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,39,0,0,0,0,0,0,0
180,1,44448,44448,57,5,0.0,2.0408163265306123,0,0,374.1107243622261,540,720,23,0,0,0,0,0,0,0,55,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,55,0,0,0,0,0,0,0
180,1,44307,44307,60,5,1.0204081632653061,2.0408163265306123,0,0,404.2836451056517,540,720,12,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0
180,1,44633,44633,62,6,0.0,1.0204081632653061,0,0,408.3045169668498,540,720,7,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0
180,1,44263,44263,64,6,3.061224489795918,3.061224489795918,0,0,381.49526578856353,540,720,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
180,1,44472,44472,61,5,0.0,3.061224489795918,0,0,379.48736791392133,540,720,19,0,0,0,0,0,0,0,51,0,0,0,0,0,0,0,52,0,0,0,0,0,0,0,51,0,0,0,0,0,0,0
180,1,45246,45246,62,3,2.0408163265306123,7.142857142857142,0,0,429.9344006146254,540,720,15,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,42,0,0,0,0,0,0,0
180,1,44465,44465,61,5,0.0,0.0,0,0,380.9342261172491,540,720,17,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0
180,1,44492,44492,63,4,1.0204081632653061,4.081632653061225,0,0,414.46151063458547,540,720,56,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,56,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0
180,1,44548,44548,60,3,0.0,7.142857142857142,0,0,418.12344062005366,540,720,15,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0,44,0,0,0,0,0,0,0
180,1,44397,44397,61,3,0.0,2.0408163265306123,0,0,395.5935027442074,540,720,18,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0
180,1,44708,44708,59,2,0.0,2.0408163265306123,0,0,436.4918507021691,540,720,14,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,48,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0
180,1,44663,44663,61,1,0.0,2.0408163265306123,0,0,417.41563096400625,540,720,5,0,0,0,0,0,0,0,55,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,55,0,0,0,0,0,0,0
180,1,44176,44176,62,3,1.0204081632653061,9.183673469387756,0,0,379.7201643566133,540,720,12,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0
180,1,45233,45233,60,8,3.061224489795918,6.122448979591836,0,0,438.9779915703567,540,720,20,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,57,0,0,0,0,0,0,0
180,1,44581,44581,60,5,2.0408163265306123,5.1020408163265305,0,0,396.5553901825904,540,720,6,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0
180,1,44527,44527,61,2,1.0204081632653061,1.0204081632653061,0,0,404.7286519927775,540,720,8,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0
