q,schedule,passenger_entered,passenger_exited,trams_too_late_cs,trams_too_late_pr, %trams_late_PR>1,%trams_lateCS>1,trams_too_early_cs,trams_too_early_pr,AVG_passenger_waiting_time,peak_tram_freq,offpeak_tram_freq,average_tramqueue_time_P+R De Uithof,average_tramqueue_time_WKZ,average_tramqueue_time_UMC,average_tramqueue_time_Heidelberglaan,average_tramqueue_time_Padualaan,average_tramqueue_time_Kromme Rijn,average_tramqueue_time_Galgenwaard,average_tramqueue_time_Vaartsche Rijn,average_tramqueue_time_Centraal Station,average_tramqueue_time_Vaartsche Rijn 2,average_tramqueue_time_Galgenwaard 2,average_tramqueue_time_Kromme Rijn 2,average_tramqueue_time_Padualaan 2,average_tramqueue_time_Heidelberglaan 2,average_tramqueue_time_UMC 2,average_tramqueue_time_WKZ 2,max_tramqueue_time_P+R De Uithof,max_tramqueue_time_WKZ,max_tramqueue_time_UMC,max_tramqueue_time_Heidelberglaan,max_tramqueue_time_Padualaan,max_tramqueue_time_Kromme Rijn,max_tramqueue_time_Galgenwaard,max_tramqueue_time_Vaartsche Rijn,max_tramqueue_time_Centraal Station,max_tramqueue_time_Vaartsche Rijn 2,max_tramqueue_time_Galgenwaard 2,max_tramqueue_time_Kromme Rijn 2,max_tramqueue_time_Padualaan 2,max_tramqueue_time_Heidelberglaan 2,max_tramqueue_time_UMC 2,max_tramqueue_time_WKZ 2
180,1,43739,43739,248,18,1.1627906976744187,5.813953488372093,0,0,78.77824986471381,180,720,53,0,0,0,68,19,19,33,42,0,30,8,12,10,10,14,776,0,0,0,68,30,27,123,549,0,81,13,43,21,15,29
180,1,42573,42573,250,13,0.0,3.10077519379845,0,0,73.30955780703722,180,720,52,0,0,16,23,12,7,35,37,0,42,9,23,16,15,12,729,0,0,16,33,20,18,136,319,0,102,19,47,32,60,24
180,1,42936,42936,244,11,0.3875968992248062,5.038759689922481,0,0,82.39769830010098,180,720,51,0,0,7,11,3,17,56,39,41,67,10,5,15,13,13,753,0,0,7,11,3,29,168,304,41,166,18,9,28,41,24
180,1,42672,42672,243,16,1.1627906976744187,6.2015503875969,0,0,82.41147841686897,180,720,53,0,24,23,11,16,14,38,40,0,35,8,14,17,18,11,737,0,24,23,19,46,27,86,551,0,92,12,36,29,20,45
180,1,45099,45099,245,37,6.2015503875969,12.4031007751938,0,0,73.44978238322014,180,720,56,8,14,0,0,19,0,35,44,27,18,9,9,9,11,9,683,8,14,0,0,25,0,141,323,33,66,38,23,26,21,26
180,1,46032,46032,250,40,6.5891472868217065,18.992248062015506,0,0,75.08460004874897,180,720,55,8,5,21,4,8,7,42,52,13,44,10,15,12,7,13,705,13,10,24,9,17,17,154,346,19,117,34,40,35,19,33
180,1,43349,43349,247,23,3.875968992248062,12.790697674418606,0,0,71.75427893410875,180,720,53,14,9,13,24,5,7,17,45,0,50,12,14,10,11,14,693,14,16,23,24,7,12,35,380,0,98,26,66,23,23,45
180,1,42863,42863,239,14,1.1627906976744187,5.426356589147287,0,0,70.33395431600194,180,720,51,0,0,12,24,20,7,27,37,0,26,13,15,11,10,9,704,0,0,12,39,22,16,70,393,0,70,38,32,50,28,19
180,1,44466,44466,247,21,0.7751937984496124,12.015503875968992,0,0,74.29333136503317,180,720,51,0,0,56,24,14,9,35,46,38,36,8,12,11,11,11,606,0,0,56,48,24,23,206,317,72,128,22,34,27,29,28
180,1,42412,42412,246,20,2.3255813953488373,6.2015503875969,0,0,75.8648281612772,180,720,53,0,0,37,13,9,30,22,43,0,20,11,16,13,23,17,728,0,0,67,35,15,30,97,455,0,61,35,29,23,48,32
